timestamp;acc_x;acc_y;acc_z;gyro_x;gyro_y;gyro_z
193151;9.07;-2.41;-0.52;-18.1875;-6.375;-1.75
193151;10.92;-2.31;-0.81;-53.375;16.875;-22.5
193151;12.31;-4.02;-2.5;-41.75;12.375;-16.4375
193151;13.6;-5.1;-3.16;-32.625;7.75;-10.3125
193151;9.28;-1.75;-3.83;-32.125;-12.5;-14.8125
193151;9.34;-1.59;-3.87;-31.8125;-11.0;-12.5
193151;8.9;-1.01;-3.42;-34.875;-1.625;-6.8125
193151;9.76;-1.5;-2.07;18.0625;7.5625;-10.8125
193151;9.45;-1.18;-2.03;20.0;9.0;-13.5
193151;8.98;-0.55;-1.86;21.1875;8.6875;-15.375
193151;8.59;-0.09;-1.92;18.25;4.5;-14.4375
193151;9.58;-0.95;-1.75;17.625;-7.9375;-2.4375
193151;9.75;-0.78;-1.72;17.25;-6.0625;-3.25
193151;9.79;-0.69;-1.58;16.0;-5.3125;-2.9375
193151;9.35;-1.15;-0.88;2125.0;-1.8125;4.9375
193151;9.4;-1.03;-0.81;22.3125;-0.5;5.5
193151;9.44;-1.0;-0.8;22.3125;-0.5625;5.5625
193151;9.49;-0.89;-0.84;22.1875;-1.1875;5.875
193152;10.7;-1.83;-0.69;27.8125;12.3125;-1.25
193152;10.62;-1.05;-1.94;36.6875;10.6875;-5.3125
193152;10.82;-0.8;-2.4;36.75;9.375;-6.875
193152;8.22;-3.92;-2.08;65.4375;2.375;3.625
193152;9.94;-2.08;-1.36;62.75;-3.0;9.9375
193152;11.2;-0.61;-1.26;49.5;-4.375;6.375
193152;11.68;-0.24;-1.74;12.6875;-8.4375;-4.3125
193152;7.3;-1.83;-0.88;3.5;-10.625;16.875
193152;8.6;-1.96;-1.2;-3.9375;-20.0;16.4375
193152;8.93;-1.91;-1.15;-6.0;-22.9375;16.9375
193152;8.87;-2.2;-0.32;-12.0;-9.0;7.375
193152;8.81;-2.11;-0.15;-13.5;-7.875;3.6875
193152;8.96;-1.8;0.33;-15.6875;-7.125;2.375
193152;9.05;-1.55;0.42;-24.1875;-6.0625;0.0
193152;10.08;-3.86;-0.06;-36.375;20.125;-0.1875
193152;9.7;-4.41;0.36;-28.5;27.4375;3.9375
193152;9.56;-4.38;0.32;-21.6875;27.875;4.9375
193152;7.37;-0.12;-0.26;-0.75;5.0625;1.0
193152;6.72;0.65;-2.61;-15.4375;-6.1875;-4.3125
193153;6.99;0.5;-3.6;-24.875;-10.5625;-6.75
193153;9.23;-0.94;-3.85;-33.6875;-16.5;-7.9375
193153;9.44;-0.34;-2.71;24.6875;6.375;-11.625
193153;8.81;-0.09;-2.48;28.125;4.1875;-11.4375
193153;8.68;-0.28;-2.34;29.75;4.5625;-12.1875
193153;8.54;-0.7;-1.5;21.25;-6.125;-3.4375
193153;8.65;-0.74;-1.37;16.25;-8.8125;-4.0
193153;8.72;-0.85;-1.4;13.6875;-9.75;-4.6875
193153;8.89;-1.15;-1.56;9.25;-11.4375;-5.1875
193153;9.71;-1.42;-0.49;26.375;-9.6875;7.375
193153;9.66;-0.65;-0.56;22.75;-5.0;6.5625
193153;9.82;-0.54;-0.36;19.0;-1.625;6.25
193153;10.57;-2.43;-5.03;-2.75;12.875;-7.0
193153;10.27;-3.1;-4.3;6.375;21.0;-10.9375
193153;8.4;-4.76;-2.47;16.3125;28.75;-13.125
193153;7.89;-4.81;-2.21;34.25;29.0625;-13.5625
193153;8.12;-3.03;-1.41;3.125;19.125;4.875
193153;7.05;-2.49;-1.11;8.625;11.25;5.9375
193153;7.01;-2.26;-1.06;8.6875;5.25;6.0625
193153;7.63;-2.03;-0.94;4.25;-5.6875;7.625
193153;8.97;-1.37;-0.37;-8.625;-11.3125;-2.4375
193154;8.97;-1.37;-0.32;-10.9375;-10.9375;-2.4375
193154;8.82;-1.21;-0.15;-16.0;-9.1875;-1.9375
193154;10.91;-1.83;1.24;-17.1875;18.75;-8.8125
193154;10.12;-1.7;-0.4;-16.0625;18.8125;-6.8125
193154;10.33;-2.14;-1.57;-15.875;15.3125;-5.875
193154;9.82;-1.21;-3.16;-22.9375;-15.125;12.0
193154;10.06;-0.87;-3.27;-28.75;-9.5;8.3125
193154;9.87;-0.29;-3.52;-31.25;-2.6875;7.3125
193154;9.35;-0.04;-3.54;-34.125;3.6875;6.875
193154;9.12;0.36;-1.58;4.8125;5.375;-7.6875
193154;8.03;0.81;-1.9;-0.1875;1.875;-7.0625
193154;7.84;0.46;-1.82;-0.375;-1.5;-5.8125
193154;7.8;-0.97;-1.7;-1.0625;-8.0625;-2.125
193154;9.28;-1.48;-0.7;13.4375;-7.25;5.375
193154;9.32;-1.47;-0.63;14.375;-5.9375;6.125
193154;9.38;-1.53;-0.53;17.25;-4.5625;7.125
193154;10.72;-0.81;0.24;13.875;16.8125;-0.75
193154;10.71;-0.93;0.08;20.0;17.875;-6.25
193154;10.72;-1.1;-0.18;24.125;16.6875;-8.3125
193154;11.43;-1.29;-0.89;31.6875;11.25;-10.125
193155;8.13;-2.95;-0.62;49.6875;12.9375;-6.8125
193155;8.58;-2.01;-0.38;44.5625;7.9375;-6.8125
193155;9.11;-1.22;-0.35;21.25;-6.5;-5.6875
193155;6.9;-2.53;-0.74;-3.9375;-1.0;6.4375
193155;7.55;-1.81;-0.8;-11.0;-12.375;9.5
193155;7.8;-1.74;-0.81;-14.9375;-15.75;11.125
193155;8.58;-1.98;-0.67;-20.5;-15.875;13.5
193155;9.31;-1.37;0.42;-34.6875;-9.1875;-5.4375
