timestamp;acc_x;acc_y;acc_z;gyro_x;gyro_y;gyro_z
193050;9.65;-1.78;-0.67;8.6875;-5.625;3.5625
193050;9.59;-2.12;-0.62;7.1875;-7.4375;4.625
193050;9.63;-2.15;-0.63;8.9375;-6.6875;4.4375
193050;9.62;-2.07;-0.66;9.75;-6.75;4.25
193050;9.62;-2.26;-0.66;9.5;-5.3125;3.9375
193050;9.55;-2.3;-0.81;9.0625;-4.8125;4.0625
193050;9.61;-2.31;-0.77;9.0625;-5.25;3.75
193050;9.57;-2.29;-0.83;9.4375;-5.6875;3.0625
193050;9.6;-2.27;-0.65;8.5625;-2.0625;3.5
193050;9.53;-2.36;-0.66;8.375;-0.8125;3.9375
193050;9.55;-2.49;-0.63;8.3125;-0.75;3.875
193050;9.46;-2.58;-0.58;8.5;-0.25;4.0
193050;9.59;-2.8;-0.63;4.0;-1.125;1.4375
193050;9.54;-2.87;-0.5;3.6875;-1.125;2.0
193050;9.52;-2.84;-0.46;2.75;-0.4375;2.625
193050;9.36;-2.77;-0.18;-1.3125;-3.125;3.5
193050;9.26;-2.63;-0.14;-0.9375;-2.5625;2.8125
193050;9.52;-2.63;0.01;-1.5625;-2.875;0.4375
193050;9.38;-2.18;0.37;-13.1875;9.3125;-12.75
193050;9.51;-2.53;0.16;-13.75;9.8125;-14.125
193050;9.78;-2.66;0.02;-14.125;10.125;-14.6875
193050;10.46;-2.49;-0.07;-15.5625;9.8125;-14.25
193051;10.07;-2.94;-1.3;-21.0625;7.25;-12.1875
193051;9.87;-2.71;-1.42;-21.125;5.625;-11.625
193051;9.52;-2.07;-1.49;-20.3125;5.125;-10.3125
193051;8.78;-1.01;-0.87;-32.25;5.8125;-4.0
193051;9.41;-1.06;-0.75;-31.3125;6.125;-4.3125
193051;9.75;-1.21;-0.7;-27.3125;6.3125;-5.75
193051;8.87;-0.93;-0.92;-4.75;2.5625;-10.25
193051;8.85;-1.42;-0.79;-2.4375;-2.25;-7.5625
193051;8.83;-1.47;-0.67;-1.1875;-3.8125;-6.3125
193051;8.85;-1.29;-0.52;-0.0625;-5.125;-4.5
193051;9.87;-0.78;0.03;6.25;-5.4375;2.3125
193051;9.58;-0.63;0.06;5.5;-5.625;2.625
193051;9.51;-0.74;0.07;3.9375;-6.8125;3.375
193051;9.36;-1.04;0.02;4.0625;-7.8125;3.75
193051;9.89;-1.04;0.21;20.3125;-12.4375;8.5
193051;9.91;-1.2;0.3;21.4375;-11.5625;8.75
193051;9.84;-1.47;0.26;24.9375;-8.5;9.875
