timestamp;acc_x;acc_y;acc_z;gyro_x;gyro_y;gyro_z
184350;9.77;0.58;0.35;-2.875;2.6875;-0.5
184350;9.69;0.61;0.33;-2.6875;2.75;-0.375
184350;9.73;0.61;0.41;1.75;-5.75;-1.3125
184350;9.76;0.58;0.28;1.3125;-5.5;-1.9375
184350;9.74;0.59;0.32;1.125;-4.5625;-1.625
184350;9.81;0.65;0.3;0.875;-4.0;-1.1875
184350;9.78;0.56;0.3;-1.5625;2.1875;-0.125
184350;9.79;0.57;0.32;-1.3125;2.125;-0.0625
184350;9.77;0.61;0.31;-1.125;2.1875;0.125
184350;9.74;0.56;0.32;-1.25;2.625;0.1875
184350;9.76;0.51;0.33;-1.25;0.8125;0.625
184350;9.76;0.54;0.33;-1.1875;0.8125;0.875
184350;9.76;0.54;0.28;-1.25;1.0625;1.25
184350;9.82;0.57;0.33;-0.625;1.0;1.3125
184350;9.72;0.58;0.32;-0.125;-0.6875;0.5625
184350;9.67;0.54;0.28;-0.4375;-0.625;0.1875
184350;9.73;0.6;0.33;-0.6875;-0.75;0.5625
184351;9.79;0.54;0.44;-1.0625;0.75;0.1875
184351;9.79;0.55;0.4;-0.8125;0.5625;0.125
184351;9.58;0.61;-0.08;-1.0;0.875;0.1875
184351;9.73;0.47;0.3;-0.875;1.8125;0.4375
184351;9.78;0.56;0.36;0.0625;-0.75;-0.125
184351;9.77;0.57;0.34;-0.0625;-0.5;-0.125
184351;9.78;0.56;0.29;-0.375;0.1875;0.0
184351;9.8;0.55;0.38;-0.375;0.4375;0.0625
184351;9.75;0.56;0.38;0.0625;1.875;0.375
184351;9.75;0.56;0.36;0.3125;1.375;0.1875
184351;9.73;0.6;0.41;0.5625;0.9375;0.0
184351;9.71;0.58;0.37;0.625;0.5;-0.125
184351;9.77;0.58;0.44;-0.25;0.1875;-0.3125
184351;9.76;0.59;0.42;-0.25;0.1875;-0.375
184351;9.76;0.59;0.36;-0.5;0.375;-0.4375
184351;9.76;0.55;0.36;-0.625;0.4375;-0.625
184351;9.82;0.59;0.36;-1.25;0.4375;-0.3125
184351;9.82;0.56;0.4;-1.3125;0.5;-0.3125
184351;9.75;0.53;0.39;-0.9375;0.625;-0.3125
184351;9.76;0.51;0.38;-0.6875;0.75;-0.125
184351;9.83;0.57;0.35;0.125;1.75;0.6875
184352;9.67;0.61;0.48;0.25;1.8125;0.5625
184352;9.69;0.57;0.51;0.0;0.375;0.25
184352;9.78;0.6;0.47;-0.625;0.25;-0.5
184352;9.81;0.62;0.43;0.9375;-0.1875;0.1875
184352;9.8;0.6;0.39;0.75;-0.25;0.375
184352;9.79;0.6;0.47;-0.1875;0.3125;0.5
184352;9.76;0.59;0.43;-0.4375;0.8125;0.375
184352;9.78;0.59;0.43;-0.0625;-0.3125;0.125
184352;9.76;0.61;0.44;-0.125;0.0;0.0625
184352;9.73;0.57;0.41;-0.1875;0.0625;0.125
184352;9.72;0.57;0.44;-0.1875;0.125;0.1875
184352;9.84;0.58;0.56;0.5;0.625;0.25
184352;9.7;0.55;0.31;0.375;1.625;-0.0625
184352;9.71;0.61;0.12;0.875;1.0;-0.5625
184352;9.74;0.49;0.34;0.625;0.9375;-0.375
184352;9.75;0.53;0.39;-0.375;0.0625;0.125
184352;9.75;0.55;0.39;-0.25;-0.0625;0.1875
184352;9.77;0.55;0.35;-0.1875;-0.25;0.0625
184352;9.77;0.55;0.43;0.0;-0.4375;0.125
184352;9.75;0.57;0.39;-0.1875;0.0;0.125
184352;9.74;0.6;0.43;-0.375;0.1875;0.125
184352;9.76;0.55;0.42;-0.375;0.0;0.0
184353;9.72;0.54;0.4;-0.4375;0.125;0.0
184353;9.73;0.55;0.38;-0.5;-0.0625;0.375
184353;9.78;0.54;0.33;-0.5625;-0.25;0.3125
184353;9.77;0.52;0.34;-0.1875;-0.4375;0.375
184353;9.76;0.54;0.45;-0.125;-0.4375;0.25
184353;9.73;0.51;0.41;0.4375;-0.4375;0.125
184353;9.73;0.52;0.43;0.5625;-0.1875;0.25
184353;9.75;0.53;0.38;0.5625;-0.125;0.0
184353;9.75;0.51;0.38;0.5625;-0.0625;0.0625
184353;9.74;0.58;0.34;0.875;0.9375;0.3125
184353;9.77;0.57;0.36;0.75;0.6875;0.25
184353;9.78;0.58;0.35;0.8125;0.375;0.1875
184353;9.74;0.59;0.4;0.5;0.625;0.125
184353;9.77;0.6;0.35;-1.0625;0.0;0.125
184353;9.78;0.57;0.39;-1.1875;0.125;0.0
184353;9.76;0.6;0.41;-1.375;-0.125;-0.125
184353;9.77;0.56;0.38;-0.9375;-0.25;-0.25
184353;9.77;0.49;0.34;-1.1875;0.0625;0.125
184353;9.78;0.53;0.32;-1.125;0.0;0.125
184353;9.76;0.51;0.34;-0.8125;0.5;0.0625
184353;9.77;0.5;0.39;-0.5;0.0;0.1875
184353;9.72;0.5;0.37;0.0;-0.125;0.25
184354;9.76;0.59;0.43;-0.0625;-0.125;0.25
184354;9.76;0.52;0.33;-0.0625;-0.1875;-0.0625
184354;9.76;0.58;0.37;0.25;-0.625;0.125
184354;9.72;0.64;0.53;-0.875;0.875;-1.125
184354;9.78;0.56;0.35;-0.375;0.9375;-0.8125
184354;9.78;0.55;0.38;-0.4375;0.875;-0.375
184354;9.79;0.58;0.37;-0.625;0.5625;-0.1875
184354;9.79;0.5;0.28;-0.4375;-1.25;0.125
184354;9.75;0.65;0.42;-0.1875;-1.4375;0.1875
184354;9.76;0.54;0.35;-0.6875;-0.5625;-0.1875
184354;9.75;0.52;0.41;-0.6875;-0.3125;-0.1875
184354;9.77;0.49;0.35;-0.9375;0.1875;0.125
184354;9.75;0.54;0.35;-0.4375;0.125;0.0625
184354;9.74;0.56;0.34;-0.4375;-0.125;-0.125
184354;9.74;0.6;0.3;-0.5;-0.0625;0.125
184354;9.75;0.6;0.32;-0.625;0.0625;0.0625
184354;9.76;0.56;0.3;-1.0;0.1875;0.125
184354;9.74;0.56;0.3;-0.9375;-0.125;0.0
184354;9.73;0.55;0.36;-0.5;-0.75;0.1875
184354;9.76;0.58;0.35;-0.75;-0.1875;-0.125
184354;9.75;0.58;0.35;-0.6875;-0.125;-0.3125
184355;9.76;0.55;0.3;-1.0;-0.25;0.0
184355;9.76;0.54;0.29;-0.25;-0.6875;-0.125
184355;9.79;0.57;0.33;-0.1875;-0.875;0.0
184355;9.76;0.56;0.32;-0.375;-0.75;0.0625
184355;9.78;0.54;0.27;-0.375;-0.75;-0.125
184355;9.76;0.58;0.34;-0.5;-0.75;-0.1875
184355;9.77;0.56;0.28;-0.625;-0.5625;-0.1875
184355;9.77;0.57;0.28;-0.9375;0.25;-0.0625
184355;9.76;0.53;0.27;-0.875;0.4375;0.0625
184355;9.81;0.55;0.24;0.5;-0.6875;0.25
184355;9.76;0.52;0.22;0.9375;-1.3125;0.0
184355;9.77;0.52;0.25;0.8125;-1.0625;0.0625
184355;9.75;0.58;0.31;0.1875;-0.6875;0.0625
184355;9.76;0.53;0.25;-0.1875;0.0625;0.1875
184355;9.75;0.48;0.24;0.125;-0.125;0.3125
184355;9.76;0.49;0.28;0.5625;-0.5;0.0625
184355;9.72;0.57;0.23;0.625;-0.875;0.1875
184355;9.75;0.56;0.24;0.5;-0.375;-0.0625
184355;9.75;0.58;0.23;0.625;-0.6875;0.125
184355;9.76;0.59;0.25;0.4375;-0.5;0.125
184355;9.8;0.6;0.22;0.375;-0.25;-0.0625
184355;9.76;0.6;0.25;-0.375;-0.25;0.1875
184356;9.76;0.59;0.21;-0.5;-0.0625;0.0625
184356;9.76;0.56;0.17;-0.3125;0.0;0.0
184356;9.78;0.56;0.23;-0.3125;-0.1875;-0.0625
184356;9.76;0.6;0.22;-0.4375;-0.125;-0.1875
184356;9.75;0.57;0.23;-0.3125;-0.25;-0.1875
184356;9.72;0.6;0.22;-0.4375;-0.6875;-0.0625
184356;9.72;0.57;0.23;-0.375;-0.75;-0.1875
184356;9.72;0.56;0.23;-0.25;0.3125;0.125
184356;9.75;0.65;0.22;-0.25;0.25;0.0625
184356;9.72;0.61;0.14;-0.3125;0.1875;0.125
184356;9.77;0.57;0.16;-0.375;0.3125;-0.0625
184356;9.73;0.56;0.18;-0.4375;0.4375;0.0
184356;9.74;0.58;0.2;-0.0625;-0.0625;-0.125
184356;9.77;0.54;0.25;0.125;-0.4375;-0.125
184356;9.77;0.58;0.2;-0.6875;0.8125;0.25
184356;9.78;0.56;0.2;-0.625;0.6875;-0.0625
184356;9.77;0.54;0.22;-0.375;0.5;-0.0625
184356;9.79;0.54;0.21;-0.4375;0.4375;-0.125
184356;9.78;0.62;0.24;0.375;0.125;-0.0625
