timestamp;acc_x;acc_y;acc_z;gyro_x;gyro_y;gyro_z
192131;9.34;-2.69;-1.14;-1.875;-0.6875;1.4375
192131;9.34;-2.67;-1.18;2.4375;-0.5;1.125
192131;9.31;-2.67;-1.22;2.0;-0.625;0.9375
192131;9.31;-2.61;-1.3;2.125;-0.9375;0.6875
192131;9.35;-2.6;-1.26;2.0;-1.375;0.4375
192131;8.99;-2.86;-1.29;0.0625;-1.25;1.5625
192131;9.12;-2.85;-1.31;-0.125;-1.3125;1.4375
192131;9.72;-2.97;-1.12;-0.0625;-3.75;1.5625
192131;9.24;-2.88;-1.32;-2.1875;-2.375;1.625
192131;9.3;-2.8;-1.29;-2.75;-1.875;1.3125
192131;9.25;-2.81;-1.24;-4.0;-1.25;0.125
192131;9.06;-3.0;-1.36;-4.5;-1.3125;-0.6875
192131;8.84;-3.01;-0.86;1.6875;0.9375;0.5
192131;8.94;-2.97;-0.86;1.375;1.0;-0.25
192131;9.15;-2.9;-0.85;-0.25;1.1875;-2.1875
192131;9.83;-2.3;0.13;-8.4375;12.6875;-13.125
192131;9.67;-2.41;0.38;-12.8125;16.75;-15.0625
192131;8.43;-2.43;0.38;-21.0625;26.5625;-19.375
192131;5.52;-1.56;0.4;-31.375;39.125;-31.375
192131;5.51;-1.33;0.16;-27.0;34.9375;-31.875
192131;6.97;-1.98;0.14;-18.1875;26.4375;-27.5
192131;10.17;0.56;-1.66;-2.75;1.3125;-21.3125
192131;12.76;0.66;-2.81;-1.125;-11.5;-19.4375
192131;13.75;0.26;-3.68;8.8125;-23.5625;-12.8125
192131;16.02;-1.38;-1.69;11.375;-32.6875;-9.0625
192131;13.48;1.3;1.92;14.375;-24.5625;-26.6875
192131;12.92;1.64;1.93;13.4375;-14.5625;-23.8125
192131;9.64;0.81;0.4;8.625;-0.75;-11.75
192131;8.39;-0.27;-0.41;13.625;2.0625;5.6875
192131;8.37;-0.36;-0.52;11.75;1.0625;6.375
192131;8.58;-0.46;-0.46;9.5;-0.9375;8.1875
192131;9.41;-0.85;-0.15;9.5625;-1.0;8.9375
192131;9.02;-0.82;0.15;12.9375;11.5;20.75
192132;9.09;-0.75;0.17;12.25;12.25;16.9375
192132;8.83;-0.96;0.15;12.1875;13.25;12.1875
192132;8.78;-1.15;0.03;12.625;13.75;11.5625
192132;8.95;-1.31;0.73;25.0625;1.9375;22.1875
192132;9.28;-1.61;0.85;26.75;-4.4375;22.75
192132;9.34;-1.65;0.79;27.375;-7.125;22.3125
192132;13.32;-2.63;0.62;-2.5;-51.5625;24.1875
192132;13.76;-4.3;1.57;-20.5;-31.875;11.3125
