timestamp;acc_x;acc_y;acc_z;gyro_x;gyro_y;gyro_z
185349;9.46;-0.72;1.0;-1.375;0.375;0.5
185349;9.46;-0.7;1.02;-2.5625;0.625;0.125
185349;9.45;-0.66;1.05;-3.125;0.875;0.3125
185349;9.46;-0.9;1.03;-3.625;0.25;-0.4375
185349;9.46;-0.9;1.05;-3.125;0.1875;-0.25
185349;9.47;-0.9;1.05;-2.1875;0.1875;-0.1875
185349;9.45;-0.92;1.07;-1.5;-0.125;-0.1875
185349;9.45;-0.86;1.04;1.0;-0.1875;-0.125
185349;9.44;-0.84;1.0;1.125;0.0625;0.0
185349;9.42;-0.86;1.08;1.4375;-0.125;0.0625
185349;9.48;-0.85;1.05;0.9375;-0.1875;0.0625
185349;9.48;-0.84;1.07;1.0;-0.0625;-0.0625
185349;9.48;-0.84;1.1;1.0625;0.0625;-0.0625
185349;9.46;-0.81;1.08;1.125;0.125;0.0
185349;9.46;-0.87;1.06;0.4375;-0.5625;0.1875
185349;9.47;-0.84;1.06;0.0;0.0625;0.375
185349;9.44;-0.81;1.06;0.25;-0.4375;0.4375
185349;9.44;-0.83;1.08;-0.1875;-0.6875;0.375
185349;9.45;-0.83;1.05;-0.1875;-0.625;0.3125
185349;9.46;-0.84;1.05;-0.3125;-0.4375;0.125
185349;9.47;-0.86;1.04;-0.4375;-0.3125;0.25
185349;9.45;-0.82;1.01;0.6875;-1.5;0.0625
185349;9.47;-0.82;1.06;0.5625;-1.1875;0.0625
185349;9.47;-0.79;1.02;0.5;-1.3125;0.125
185350;9.47;-0.82;1.06;0.375;-1.5;0.0
185350;9.48;-0.81;1.0;0.125;-1.125;-0.0625
185350;9.49;-0.82;1.03;0.125;-0.6875;-0.125
185350;9.48;-0.82;1.01;0.125;-0.5625;0.0625
185350;9.45;-0.84;1.03;0.125;-0.5;-0.125
185350;9.47;-0.79;1.04;-0.0625;0.25;0.0
185350;9.46;-0.81;0.96;0.0625;-0.1875;0.0
185350;9.47;-0.79;0.99;-0.0625;-0.4375;0.0625
185350;9.45;-0.82;1.02;0.375;-0.25;0.0625
185350;9.5;-0.8;1.02;0.4375;-0.25;0.0
185350;9.47;-0.79;1.04;0.25;-0.0625;-0.125
185350;9.47;-0.82;1.03;-0.0625;-0.125;-0.1875
185350;9.46;-0.8;1.03;-0.125;-0.6875;0.125
185350;9.47;-0.82;1.03;-0.0625;-0.5625;0.0
185350;9.46;-0.83;1.04;0.0;-0.375;0.0625
