timestamp;acc_x;acc_y;acc_z;gyro_x;gyro_y;gyro_z
190409;9.68;-0.92;-1.09;-0.4375;-0.875;0.125
190409;9.72;-0.92;-1.09;-0.375;-0.875;0.1875
190409;9.72;-0.92;-1.09;-0.3125;-0.0625;-0.125
190409;9.72;-0.92;-1.1;-0.1875;-0.125;-0.25
190409;9.73;-0.92;-1.08;-0.25;0.3125;-0.1875
190409;9.71;-0.95;-1.12;-0.25;0.125;-0.0625
190409;9.71;-0.94;-1.12;-0.125;0.25;-0.125
190409;9.66;-0.96;-1.09;0.0625;0.4375;-0.0625
190409;9.67;-0.94;-1.11;0.0625;0.375;-0.0625
190409;9.7;-0.91;-1.1;0.0625;0.0;0.0625
190409;9.69;-0.92;-1.1;-0.1875;0.0625;0.125
190409;9.7;-0.92;-1.09;-0.25;0.25;-0.0625
190409;9.69;-0.91;-1.1;-0.25;0.25;0.0
190409;9.71;-0.95;-1.09;-0.6875;0.1875;0.25
190409;9.73;-0.98;-1.06;-0.625;0.125;0.125
190409;9.0;-0.94;-1.1;-0.375;0.1875;0.0625
190409;9.7;-0.94;-1.1;0.0625;0.0;0.125
190409;9.71;-0.93;-1.1;0.125;0.0625;0.0625
190409;9.71;-0.93;-1.09;0.0;0.0625;-0.0625
190409;9.69;-0.93;-1.09;0.0625;0.0;0.0625
190409;9.7;-0.94;-1.05;-0.3125;-0.0625;-0.125
190409;9.7;-0.95;-1.06;-0.375;0.1875;-0.1875
190409;9.7;-0.93;-1.07;-0.5;0.375;-0.1875
190409;9.71;-0.93;-1.1;-0.5;0.5;-0.125
190409;9.68;-0.94;-1.07;-0.0625;0.4375;-0.1875
190409;9.68;-0.96;-1.08;0.1875;0.1875;-0.1875
190409;9.73;-0.94;-1.05;0.25;0.3125;-0.125
190409;9.72;-0.93;-1.1;0.3125;0.1875;-0.125
190409;9.72;-0.93;-1.03;0.0625;0.125;0.0625
190409;9.71;-0.92;-1.07;0.0625;-0.25;0.0
190409;9.75;-0.92;-1.03;0.0625;-0.125;-0.0625
190410;9.73;-0.92;-1.06;-0.0625;0.375;0.0625
190410;9.73;-0.92;-1.04;0.0625;0.3125;0.125
190410;9.7;-0.92;-1.03;0.25;0.125;0.125
190410;9.7;-0.94;-1.07;0.0625;0.3125;0.0625
190410;9.69;-0.92;-1.04;-0.0625;-0.25;0.3125
190410;9.7;-0.94;-1.08;0.125;-0.1875;0.3125
190410;9.7;-0.94;-1.06;0.1875;-0.5;0.25
190410;9.71;-0.93;-1.06;0.1875;-0.4375;0.3125
190410;9.71;-0.92;-1.05;0.0;0.0625;-0.125
190410;9.73;-0.93;-1.02;0.0625;0.0625;0.0
