timestamp;acc_x;acc_y;acc_z;gyro_x;gyro_y;gyro_z
191001;9.02;0.09;-3.53;-0.875;-1.6875;-4.875
191001;8.95;0.05;-3.49;-1.0;-1.9375;-4.5
191001;8.96;0.03;-3.48;-0.25;-1.9375;-4.5
191001;9.34;0.33;-3.52;6.6875;-0.8125;-2.0
191001;9.16;0.59;-3.54;5.5;-1.1875;-3.0
191001;9.17;0.64;-3.53;4.3125;-1.8125;-3.375
191001;9.25;0.33;-3.52;4.0625;-1.5;-4.0
191001;9.04;0.27;-3.34;5.3125;-7.5625;-1.4375
191001;9.06;0.21;-3.26;5.5;-8.1875;-1.3125
191001;9.08;0.19;-3.28;6.25;-7.75;-0.5625
191001;9.39;0.11;-2.84;7.625;-0.375;2.9375
191001;9.39;0.09;-2.86;8.8125;0.75;4.6875
191001;9.55;0.04;-2.86;9.375;1.1875;5.25
191001;9.47;0.05;-2.99;10.125;1.75;5.8125
191001;9.93;0.03;-2.72;18.375;6.875;-1.8125
191001;9.82;0.23;-3.05;22.6875;9.75;-3.625
191001;9.97;0.68;-3.37;21.75;7.5625;-4.1875
191001;8.44;-0.82;-3.78;41.125;10.25;-4.6875
191001;8.37;-0.01;-3.85;39.8125;8.0625;-5.5625
191001;8.2;0.39;-4.04;36.6875;7.3125;-6.0625
191001;8.19;0.2;-4.11;29.1875;5.5;-6.6875
191001;9.2;-1.06;-3.54;5.8125;4.9375;11.6875
191001;9.17;-1.22;-3.37;6.9375;6.0;12.25
191001;9.11;-1.4;-3.36;8.5;5.375;11.4375
191002;8.99;-1.0;-2.72;6.875;-0.1875;2.5625
191002;9.09;-1.06;-2.74;4.5;-0.5625;2.125
191002;9.09;-1.15;-2.81;4.125;-1.0625;1.8125
191002;9.11;-1.23;-2.71;4.8125;-1.8125;2.3125
191002;9.29;-1.41;-2.29;-18.5;-2.0625;-2.75
191002;9.22;-1.19;-2.08;-17.25;-0.6875;-3.0
191002;9.27;-1.02;-2.06;-17.625;-0.125;-3.5
191002;11.91;-1.95;-4.42;-13.3125;7.4375;2.0
191002;11.88;-1.97;-4.78;-8.9375;15.5625;1.375
191002;11.91;-1.86;-5.3;-3.875;16.125;1.0625
191002;11.68;-1.65;-4.58;2.125;15.0;2.375
191002;8.58;-1.68;-3.82;-20.125;0.375;10.3125
191002;8.61;-1.89;-3.61;-7.9375;0.375;7.6875
191002;9.14;-1.94;-3.35;9.75;-2.1875;-0.1875
191002;8.71;0.37;-3.07;3.4375;-3.875;-7.8125
191002;9.0;0.12;-3.14;3.5625;-6.875;-7.5625
191002;9.31;-0.02;-3.1;4.4375;-8.0;-7.75
191002;9.29;-0.15;-3.1;6.75;-8.0625;-7.4375
191002;9.13;0.75;-2.29;8.6875;-5.75;-4.25
191002;9.08;0.65;-2.36;8.0625;-6.5625;-2.625
191002;9.07;0.36;-2.54;9.1875;-7.8125;0.25
191003;9.08;-0.03;-2.47;11.125;-8.1875;2.1875
191003;9.39;0.26;-2.29;14.3125;1.9375;1.875
191003;9.71;0.09;-1.95;15.625;3.8125;-1.1875
191003;10.08;-0.13;-1.8;16.75;5.5;-3.4375
191003;10.22;-0.18;-1.74;22.125;10.125;-7.625
191003;8.09;-1.21;-3.59;-2.0625;20.375;0.5625
191003;6.72;-1.86;-3.5;22.875;14.625;5.125
191003;6.43;-2.02;-3.34;35.625;8.6875;4.9375
191003;8.87;-0.98;-3.41;-5.375;7.625;15.4375
191003;7.98;-1.14;-3.16;1.4375;7.375;15.9375
191003;7.51;-1.17;-2.75;11.8125;2.375;15.625
191003;7.63;-1.07;-2.35;13.8125;-3.375;14.9375
191003;8.96;-0.32;-2.37;-1.0625;-9.0625;1.75
191003;9.24;-0.26;-2.4;-5.625;-10.375;1.875
191003;9.29;-0.31;-2.38;-7.1875;-9.875;1.375
191003;9.92;-0.73;-1.83;-12.875;-2.8125;-3.625
191003;10.68;-0.47;-1.4;-17.4375;4.125;-4.3125
191003;10.7;-0.37;-1.37;-17.625;6.375;-2.8125
191003;10.52;-0.14;-1.19;-18.625;9.4375;0.0625
191003;9.83;-0.51;-1.96;10.25;7.3125;9.8125
191004;8.78;0.36;-2.34;-2.6875;11.9375;3.5
191004;8.56;0.83;-2.55;-13.1875;6.25;2.3125
191004;10.4;-1.52;-3.04;22.375;-1.4375;-7.0
191004;10.1;-0.44;-2.65;12.6875;1.75;-13.625
191004;9.8;0.03;-2.64;5.625;3.625;-15.1875
191004;8.5;1.2;-2.84;-3.8125;5.8125;-13.4375
191004;8.52;-0.12;-2.69;0.5625;-7.0625;-3.1875
191004;8.62;-0.12;-2.72;4.125;-8.875;-3.5625
191004;8.88;-0.03;-2.68;5.75;-9.5625;-3.1875
191004;9.11;0.05;-2.55;7.375;-9.5625;-2.3125
191004;9.14;0.16;-2.82;12.875;-10.6875;2.9375
191004;9.52;0.0;-2.82;13.125;-9.0625;3.375
191004;9.91;-0.15;-2.2;16.375;-2.5625;0.875
191004;11.4;0.99;-6.33;3.625;-0.6875;-10.0
191004;11.21;-0.16;-5.84;-1.0;-1.5;-9.3125
191004;10.26;-1.09;-4.46;0.8125;3.0;-8.0625
191004;8.66;-2.15;-3.45;12.25;15.5625;-4.625
191004;9.48;-0.8;-3.76;-23.1875;8.5;15.375
191004;8.61;-1.28;-3.35;-17.375;8.25;16.5
