timestamp;acc_x;acc_y;acc_z;gyro_x;gyro_y;gyro_z
192034;8.06;-1.26;5.14;-1.625;-6.5;-12.0
192034;8.4;-1.13;5.19;-3.4375;-6.5625;-12.4375
192034;8.64;-1.22;5.14;-7.5625;-5.3125;-12.9375
192034;8.14;-2.12;4.89;3.9375;2.9375;-2.125
192034;7.84;-1.91;4.82;4.6875;4.125;-2.1875
192034;7.9;-1.67;4.88;5.625;3.4375;-0.6875
192034;8.2;-1.71;4.82;6.0;2.375;-0.25
192034;8.42;-1.51;5.14;9.5625;-0.8125;7.1875
192034;8.24;-1.3;5.14;9.6875;3.8125;7.5
192034;8.08;-1.02;4.91;8.25;8.0625;7.5625
192034;8.19;-1.2;4.96;-3.875;2.4375;5.9375
192034;7.88;-1.12;4.09;-5.0;0.375;6.625
192034;7.71;-1.09;3.89;-4.875;-0.8125;6.375
192034;7.25;-1.07;3.46;-5.625;-3.0;5.375
192034;8.22;-0.89;6.13;19.0;-3.1875;12.0
192034;7.97;-0.32;5.8;14.1875;-1.625;15.5
192034;7.29;-1.25;5.04;13.8125;-3.0625;16.25
192034;9.92;-3.62;6.5;3.5625;26.6875;-6.9375
192034;9.0;-3.92;6.28;3.0;36.875;-9.5
192034;7.88;-2.94;5.9;1.75;29.375;-8.875
192034;9.16;-4.04;6.22;5.8125;6.5;13.6875
192035;9.05;-3.97;6.44;7.5625;5.8125;14.9375
192035;8.73;-3.57;6.36;9.0;2.875;11.4375
192035;8.02;-1.96;5.6;8.0;0.0625;7.8125
192035;7.15;-2.44;4.93;7.625;-3.0;5.5
192035;6.98;-2.3;4.91;7.5;-3.75;3.875
192035;6.99;-2.04;5.05;5.0;-6.3125;0.5
192035;7.31;-1.96;5.02;3.8125;-8.375;-0.375
192035;8.03;-2.19;5.46;6.8125;-11.4375;-3.375
192035;7.69;-1.94;4.85;4.9375;-7.9375;-4.875
192035;7.45;-1.99;4.78;4.0625;-6.6875;-4.6875
192035;7.2;-2.06;4.8;3.8125;-4.75;-5.125
192035;6.5;-1.8;4.6;4.625;-9.75;-16.3125
192035;6.7;-1.25;4.59;-0.5625;-11.0625;-15.0
192035;7.3;-1.31;5.02;-5.0;-6.375;-9.6875
192035;9.05;-3.55;4.79;18.3125;-10.25;9.0
192035;9.58;-2.52;4.61;20.1875;-11.5625;7.75
192035;9.63;-1.95;4.7;20.125;-10.0;4.6875
192035;9.21;-0.82;5.12;20.0625;-1.875;-0.375
192035;7.6;-2.23;5.76;8.0;5.875;10.8125
192035;8.08;-1.09;5.09;5.6875;-7.9375;5.0
192035;9.18;-1.03;5.36;0.625;-24.5625;-7.6875
192036;11.44;-0.95;6.16;-0.3125;-25.25;-11.625
192036;7.87;-0.72;4.11;-6.125;-21.625;-4.25
192036;7.78;-0.79;4.1;-8.875;-19.5;-4.375
192036;7.85;-1.01;4.33;-10.9375;-15.375;-2.75
192036;8.1;-1.56;4.86;-19.9375;8.0625;-5.125
192036;7.91;-1.49;4.51;-19.9375;6.3125;-3.0625
192036;7.81;-1.43;4.23;-18.1875;5.25;-1.25
192036;7.61;-1.4;3.85;-16.875;5.25;-0.375
192036;8.3;-1.99;4.77;-5.0625;7.3125;9.4375
192036;8.29;-2.01;4.65;-3.125;8.25;10.375
192036;7.98;-1.75;4.72;1.5625;9.1875;10.8125
192036;7.8;-1.41;4.7;3.0;10.125;10.875
192036;7.84;-0.2;5.33;-2.75;5.1875;3.75
192036;7.71;-0.81;4.79;-3.6875;6.6875;1.1875
192036;7.6;-1.81;4.49;-2.75;6.4375;1.5625
192036;8.01;-2.77;5.15;2.375;9.4375;5.0
192036;9.57;-2.83;7.51;24.5625;30.875;6.125
192036;8.08;-0.73;5.7;25.0;23.625;-3.625
192036;8.43;-0.63;5.32;22.9375;-5.3125;-2.25
192036;7.03;-2.13;4.29;-0.6875;-8.625;9.125
192037;7.28;-2.61;4.03;-1.1875;-12.1875;9.75
192037;7.56;-3.03;4.03;-1.0625;-13.5;10.8125
192037;7.48;-3.11;4.13;1.375;-13.3125;11.9375
192037;7.11;-2.15;4.36;12.0;-6.8125;6.0
192037;7.09;-1.71;4.42;10.5625;-6.25;6.0
192037;6.96;-1.71;4.34;7.375;-3.75;4.6875
192037;6.65;-1.71;4.32;6.875;-3.3125;3.0
192037;7.91;-2.42;5.33;10.8125;-0.625;-11.3125
192037;7.76;-2.97;4.96;13.75;2.3125;-10.75
192037;7.55;-3.42;4.29;21.25;-0.9375;-8.375
192037;6.41;-2.3;4.89;20.875;-3.5;-6.5625
192037;7.06;-2.88;4.28;20.125;-6.25;-4.1875
192037;7.74;-2.81;4.29;16.4375;-12.25;3.8125
192037;10.15;-2.69;3.22;15.5;-14.875;5.875
192037;13.22;-0.09;7.31;0.5;-16.125;-3.875
192037;13.13;-0.14;6.91;-3.3125;-1.9375;-7.4375
192037;12.17;-0.18;6.51;-5.6875;4.3125;-7.25
192037;8.59;-0.34;4.26;-15.75;-12.8125;-13.5
192037;8.46;-0.49;4.24;-17.625;-10.3125;-13.8125
192037;8.33;-0.49;4.32;-18.9375;-6.6875;-12.4375
192038;8.25;-0.41;4.45;-19.875;-5.375;-11.3125
192038;7.32;-1.31;4.15;-26.9375;-5.125;0.0
192038;7.63;-1.63;4.29;-24.875;-7.25;3.5
192038;8.11;-1.98;4.55;-23.0;-6.8125;5.4375
192038;7.9;-2.03;4.57;-7.5;6.25;2.6875
192038;7.79;-1.79;4.64;-5.5;8.5625;3.4375
192038;7.78;-1.38;4.19;-4.0;6.1875;3.0625
192038;7.82;-1.24;4.32;-4.375;3.0;2.625
192038;8.22;-2.25;4.92;-2.1875;-0.25;14.375
192038;8.54;-2.26;5.23;0.0625;2.8125;15.375
192038;8.96;-2.07;5.32;3.0;10.4375;16.375
192038;8.7;-1.86;4.74;4.3125;14.0625;16.375
192038;12.84;-6.17;7.36;18.1875;-5.5625;10.0625
192038;13.23;-4.46;8.95;4.75;11.5625;-8.5
192038;10.4;-2.86;6.84;0.4375;21.8125;-15.0
192038;8.92;-1.75;4.76;5.0;14.625;-9.75
192038;7.74;-1.48;4.42;6.0;-12.9375;0.4375
192038;8.17;-1.19;4.21;4.4375;-15.4375;1.5
192038;8.27;-1.41;4.17;-0.25;-17.125;3.6875
192038;7.94;-2.78;4.51;4.3125;-10.1875;-1.5625
192038;7.78;-2.31;4.45;6.4375;-8.4375;-1.5625
192039;7.71;-2.01;4.46;6.3125;-7.375;-1.6875
192039;7.7;-1.87;4.54;4.8125;-6.3125;-2.625
192039;7.91;-1.48;4.96;4.9375;1.8125;-6.1875
192039;7.89;-2.25;5.05;4.5;4.875;-6.75
192039;7.87;-2.47;4.9;5.25;6.3125;-6.1875
192039;7.72;-2.62;4.52;6.3125;5.9375;-6.0
192039;7.34;-1.76;4.49;7.75;-3.8125;0.3125
192039;7.55;-2.21;5.24;9.4375;15.125;-5.25
192039;7.33;-3.0;4.9;12.4375;19.25;-7.625
192039;6.39;-3.15;4.09;16.3125;10.8125;-8.4375
192039;8.6;-1.78;5.0;20.5;13.3125;-6.0625
192039;9.8;-2.08;4.53;27.0625;2.9375;-6.4375
192039;10.85;-2.47;4.4;30.375;-10.125;-4.25
192039;11.44;-1.26;6.0;-6.4375;-11.25;-11.625
192039;11.31;-0.55;6.09;-5.5;-11.25;-12.6875
192039;9.49;-0.78;5.18;-6.625;-3.4375;-10.125
192039;8.04;-1.67;3.97;-7.0625;-4.125;-4.4375
192039;7.51;-0.74;3.67;1.0625;-27.625;0.0625
192039;8.23;-0.39;4.05;2.0;-29.1875;2.9375
192039;8.6;-0.05;4.16;-0.1875;-28.5;2.875
192039;7.23;-1.5;4.37;-14.4375;-2.6875;-1.875
192040;8.32;-1.5;4.4;-14.25;-7.4375;-1.0
192040;8.73;-1.45;4.52;-13.625;-8.6875;-1.5625
192040;8.99;-1.63;4.47;-12.0;-3.1875;-1.125
192040;7.62;-1.51;4.44;-10.1875;18.5625;8.0625
192040;7.72;-1.43;4.41;-10.5625;17.5;9.6875
192040;7.84;-1.44;4.3;-11.1875;15.5;9.875
192040;7.48;-1.0;4.61;-2.3125;6.0625;12.3125
192040;7.49;-0.95;4.6;-1.125;5.0625;10.5
192040;7.57;-0.65;5.01;-0.6875;5.25;7.625
192040;7.56;-0.56;4.66;-2.375;5.125;5.75
192040;10.81;-6.27;5.46;9.625;29.25;0.5625
192040;11.08;-6.32;6.78;21.5625;22.75;5.75
192040;10.25;-3.89;7.55;21.9375;23.1875;5.0
192040;9.65;-2.52;6.97;23.375;23.25;-1.25
192040;8.17;-2.59;4.65;6.375;-7.3125;7.1875
