timestamp;acc_x;acc_y;acc_z;gyro_x;gyro_y;gyro_z
191228;9.25;1.41;-2.29;-2.5;-14.4375;-5.75
191228;9.05;0.63;-2.2;7.625;-15.375;5.25
191228;9.39;0.68;-2.22;10.4375;-15.125;5.0
191228;9.57;0.7;-2.19;15.625;-12.875;5.0
191228;12.51;0.6;-3.49;24.1875;11.8125;-3.875
191228;12.06;0.27;-3.86;25.125;16.75;-4.0625
191228;10.18;0.92;-4.5;27.5625;6.25;-2.125
191228;10.48;1.25;-4.21;26.4375;-3.125;-0.875
191228;9.34;-0.19;-4.17;38.25;-10.9375;15.375
191228;9.39;-0.16;-3.97;35.25;-10.75;16.3125
191228;9.55;-0.04;-3.54;27.6875;-10.8125;17.5
191228;8.35;-1.19;-3.35;6.625;0.75;19.125
191228;8.25;-1.14;-3.22;6.125;1.375;18.5
191228;8.1;-1.06;-3.15;4.6875;3.0625;16.1875
191228;7.76;-0.98;-2.99;3.5;4.5625;14.875
191228;8.64;-10.0;-2.91;-4.75;5.1875;12.5
191228;8.66;-1.23;-2.97;-3.875;6.3125;10.8125
191228;8.95;-1.4;-3.04;-3.0;7.8125;10.6875
191228;8.91;-1.3;-2.87;-3.25;9.8125;10.25
191228;8.69;-1.47;-2.54;-6.6875;-0.375;3.75
191228;8.69;-1.74;-2.52;-2.6875;1.1875;1.9375
191228;8.8;-1.76;-2.37;-0.6875;0.875;0.6875
191228;9.66;-0.8;-3.28;-8.125;10.1875;-15.4375
191229;9.7;-2.17;-4.52;-1.4375;3.1875;-14.25
191229;11.05;-3.26;-5.09;4.0625;-0.8125;-13.0625
191229;12.85;-2.79;-4.29;13.25;1.1875;-10.25
191229;9.58;-0.45;-4.47;-10.9375;-19.5;-10.5625
191229;9.79;-0.5;-4.14;-9.8125;-14.4375;-5.625
191229;9.82;-0.52;-3.82;-9.3125;-11.1875;-4.5625
191229;8.85;-0.49;-4.09;-1.3125;-2.5;-10.0
191229;8.54;-0.5;-3.83;1.3125;-1.875;-13.3125
191229;8.47;-0.39;-3.54;0.9375;-1.125;-15.125
191229;8.62;0.45;-2.46;-4.6875;2.9375;-18.4375
191229;8.18;-0.47;-2.46;1.625;1.6875;-16.625
191229;8.3;0.17;-2.33;-1.0;3.9375;-15.9375
191229;8.23;0.98;-2.23;-5.0625;2.8125;-14.1875
191229;9.0;0.91;-2.01;-3.9375;0.9375;-2.3125
191229;8.9;1.32;-1.93;-7.0625;-1.4375;-0.0625
191229;9.01;1.38;-1.94;-8.0625;-2.25;0.5625
191229;9.49;1.42;-2.06;-6.6875;-2.0625;3.0
191229;9.32;0.69;-4.47;23.5625;0.3125;8.25
191229;9.32;1.3;-5.36;25.8125;-12.6875;8.875
191229;11.68;2.33;-5.14;21.625;-17.5625;5.0625
191229;14.83;1.5;-4.21;10.8125;-4.8125;-10.1875
191230;10.31;0.17;-4.73;20.875;-9.125;12.3125
191230;10.97;-0.58;-3.95;16.4375;-3.5;10.625
191230;10.68;-0.93;-3.7;12.1875;8.875;8.875
191230;8.38;-1.22;-3.42;4.4375;2.625;13.0
191230;8.33;-1.41;-3.24;7.125;1.8125;13.8125
191230;8.46;-1.38;-3.16;7.75;2.125;13.0
191230;8.55;-1.26;-2.98;9.5625;4.875;10.125
191230;8.15;-1.2;-2.7;3.25;15.75;17.875
191230;8.06;-1.52;-2.61;5.375;13.5;17.0625
191230;8.0;-1.55;-2.45;5.5625;9.9375;14.25
191230;8.29;-1.14;-2.58;7.5625;7.1875;13.5625
191230;8.77;-1.05;-2.18;3.1875;-1.0625;3.5
191230;8.92;-0.98;-2.19;0.375;-4.75;2.125
191230;9.2;-1.05;-2.09;-1.25;-4.75;1.25
191230;9.98;-1.43;-2.18;-8.3125;5.8125;-4.5
191230;9.71;-1.28;-3.25;-8.5;4.875;-5.375
191230;9.8;-1.46;-3.98;-7.25;-4.75;-6.125
191230;11.08;-2.32;-4.85;-4.9375;-9.625;-4.25
191230;10.23;-0.8;-4.52;-4.875;-29.9375;-8.8125
191230;9.88;-0.68;-4.58;-5.1875;-24.3125;-7.9375
191231;9.89;-0.65;-4.29;-5.1875;-22.0625;-7.5625
191231;8.5;0.35;-2.85;-19.875;6.875;-10.1875
191231;8.21;0.01;-2.98;-18.5625;8.25;-10.625
191231;7.87;-0.32;-3.12;-16.25;7.875;-9.625
191231;7.65;-0.34;-3.23;-15.25;6.4375;-8.9375
191231;8.1;0.31;-2.57;-14.375;-0.125;-13.6875
191231;8.62;0.39;-2.5;-19.3125;1.1875;-14.3125
191231;9.22;0.64;-2.3;-23.3125;6.4375;-14.3125
191231;9.0;0.54;-2.35;-7.5;2.125;-7.5625
191231;9.18;0.65;-2.23;-6.5625;0.375;-6.6875
191231;9.19;0.8;-2.21;-4.875;-1.0625;-5.0625
191231;9.06;0.97;-2.22;-4.3125;-2.3125;-4.375
191231;10.01;0.9;-2.11;3.3125;-11.0625;4.875
191231;10.13;0.81;-2.15;8.5625;-7.375;6.8125
191231;10.16;0.75;-2.03;11.5;-5.8125;7.1875
191231;10.1;0.84;-1.77;15.375;-3.375;7.3125
191231;8.52;0.02;-3.62;27.1875;12.0;-7.0
191231;9.12;0.98;-3.9;21.125;-14.125;-4.3125
191231;10.98;1.13;-4.73;20.625;-23.25;-1.375
191231;9.35;-0.6;-4.0;20.75;-10.9375;17.1875
191232;9.55;-0.54;-3.45;21.6875;-6.5;16.625
191232;9.58;-0.49;-3.17;20.8125;-3.375;15.5
191232;9.22;-0.4;-2.77;18.0;2.25;13.6875
191232;8.06;-1.22;-2.84;9.375;3.0625;11.25
191232;8.14;-1.61;-2.98;11.3125;6.4375;11.4375
191232;8.06;-1.55;-3.0;12.0625;7.25;11.9375
191232;8.69;-1.13;-2.55;2.9375;10.625;10.0
191232;8.56;-0.84;-2.51;0.875;8.6875;7.8125
191232;8.89;-0.78;-2.5;-0.6875;7.3125;7.9375
191232;9.06;-0.59;-2.43;-3.125;5.8125;7.3125
191232;9.27;-1.68;-2.23;9.0;-1.125;2.4375
191232;9.24;-1.42;-2.07;7.9375;0.625;0.3125
191232;8.9;-1.19;-1.97;6.5;2.625;-1.6875
191232;8.86;-1.07;-1.68;-0.6875;-3.3125;-4.3125
191232;10.1;-1.85;-3.69;1.6875;-11.125;-11.125
191232;13.08;-3.23;-3.53;3.5625;-9.9375;-10.3125
191232;14.12;-3.22;-3.19;11.1875;0.5;-2.875
191232;10.28;-0.35;-4.61;-14.4375;-16.75;-12.5
191232;10.21;-0.51;-4.3;-19.4375;-12.5625;-9.5625
191232;9.43;-0.5;-4.21;-19.625;-9.1875;-8.125
191233;8.71;-0.46;-3.27;-15.3125;-1.9375;-12.0
191233;8.2;-0.64;-3.18;-10.5;-3.4375;-12.6875
191233;7.94;-0.5;-2.97;-8.4375;-5.625;-12.6875
191233;7.76;-0.09;-3.05;-8.5625;-7.1875;-12.25
191233;7.51;0.64;-2.64;-16.0;2.1875;-15.1875
191233;8.06;0.76;-2.8;-17.0625;-3.875;-14.125
191233;8.73;0.76;-2.97;-18.0;-5.8125;-12.875
191233;8.53;0.33;-2.6;-3.1875;8.1875;-6.375
191233;8.43;0.25;-2.5;3.375;5.5625;-5.625
191233;8.19;0.34;-2.4;5.5625;2.375;-4.4375
191233;8.32;0.48;-2.34;9.0;-4.125;-2.5625
191233;10.06;0.88;-2.05;9.9375;-3.0625;2.6875
191233;9.78;0.79;-1.73;14.375;2.4375;3.625
191233;9.81;0.77;-1.64;16.9375;3.5625;4.5625
191233;9.96;0.42;-1.72;21.0625;4.4375;5.3125
191233;9.14;1.21;-4.83;26.4375;-18.25;-1.75
191233;10.77;1.38;-4.8;29.0625;-26.5;3.5
191233;10.57;1.09;-5.0;29.8125;-21.375;8.9375
191233;9.49;-0.45;-3.27;17.5625;-5.8125;12.6875
191233;9.33;-0.33;-3.25;18.75;-2.8125;12.9375
191233;9.22;-0.32;-3.06;19.875;-1.125;13.3125
191234;9.02;-0.4;-2.76;18.25;1.625;14.375
191234;7.99;-0.92;-2.88;-4.75;4.5625;12.125
191234;7.83;-0.97;-3.1;-4.0625;4.0625;11.875
191234;7.86;-0.99;-2.97;-2.25;2.3125;11.75
191234;9.2;-0.47;-2.86;-7.5;1.25;10.125
191234;9.29;-0.69;-2.84;-10.5625;2.6875;7.6875
191234;9.27;-0.89;-2.8;-11.6875;4.375;7.625
191234;9.18;-1.26;-2.54;-11.625;7.0;6.875
191234;8.96;-1.41;-2.07;-5.1875;1.75;2.1875
191234;8.8;-0.91;-1.82;-6.4375;1.25;0.75
191234;8.78;-0.69;-1.82;-8.9375;-0.875;-1.3125
191234;8.95;-0.69;-1.92;-9.625;-2.0;-2.125
191234;14.28;-0.54;-4.72;7.3125;10.125;6.875
191234;13.24;0.1;-4.42;8.75;13.25;8.375
191234;10.85;0.25;-4.1;-6.0;10.125;2.3125
191234;9.24;-0.93;-3.8;-9.8125;-10.75;-5.375
191234;8.54;-0.75;-3.46;-9.8125;-9.4375;-6.5625
191234;8.53;-0.44;-3.33;-11.375;-10.3125;-10.8125
191234;8.56;0.73;-3.16;-12.6875;-10.5;-12.5625
191234;8.42;-0.11;-3.04;-9.75;-6.4375;-13.375
191235;8.29;0.12;-3.04;-8.3125;-2.1875;-13.75
191235;7.64;0.69;-2.91;-4.125;3.9375;-14.375
191235;8.86;1.15;-2.97;-10.4375;12.875;-13.4375
191235;8.63;0.92;-2.98;-10.1875;11.75;-12.3125
191235;8.66;0.79;-2.88;-9.0625;10.625;-11.125
191235;8.49;0.61;-2.85;-8.0625;10.75;-10.5625
191235;9.18;0.99;-2.61;3.6875;-1.375;1.5
191235;9.0;1.08;-2.63;4.6875;-3.75;6.3125
191235;8.82;1.92;-2.24;3.875;-5.625;8.3125
191235;11.04;1.5;-3.59;-3.25;-6.3125;17.6875
191235;11.67;1.59;-3.51;-4.9375;-4.6875;14.75
